// Алкогольные напитки
// ПРОДУКТ		БЕЛ	ЖИР	УГЛ	ККАЛ	ГИ
Бренди			0	0	1	225	-
Вермут			0	0	15.9	155	-
Вино сухое		0	0	0	66	-
Вино полусухое		0.3	0	2.5	78	-
Вино десертное		0.5	0	20	175	-
Вино полусладкое	0.2	0	5	88	-
Вино столовое		0.2	0	0.2	67	-
Виски			0	0	0	222	-
Водка			0	0	0.1	234	-
Джин			0	0	0	223	-
Коньяк			0	0	0.1	240	-
Ликер			0	0	53	344	-
Пиво 3.0%		0.6	0	3.5	37	-
Пиво 4.5%		0.8	0	4.5	45	-
Пиво темное		0.2	0	4	39	-
Портвейн		0	0	13.8	167	-
Ром			0	0	0	217	-
Шампанское		0.3	0	5.2	88	-

// Безалкогольные напитки
// ПРОДУКТ		БЕЛ	ЖИР	УГЛ	ККАЛ	ГИ
Абрикосовый сок		0.9	0.2	9.2	39	55
Ананасовый сок		0.2	0.2	11.4	48	55
Апельсиновый сок	0.9	0.1	8.4	36	65
Виноградный сок		0.3	0	14.5	56	55
Вишневый сок		0.5	0	10.6	49	55
Гранатовый сок		0.2	0	14	58	35
Какао на молоке		24	17	33.1	377	-
Квас хлебный		0.2	0	5	26	-
Кола			0	0	10	40	100
Кофе с молоком		0.8	1	11	56	-
Лимонад			0	0	6.1	24	100
Лимонный сок		1	0.1	3.2	18	20
Морковный сок		1	0.1	6.5	31	40
Персиковый сок		0.8	0.1	9.1	37	55
Пиво безалкогольное	0	0	4.1	22	-
Томатный сок		0.8	0.1	4.2	17	30
Зеленый чай		0	0	0	0	-
Черный чай без сахара	0	0	0	0	-
Энергетический напиток	0	0	11.4	47	100
Яблочный сок		0.5	0.4	9.7	42	45

// Грибы
// ПРОДУКТ		БЕЛ	ЖИР	УГЛ	ККАЛ	ГИ
Белые свежие		3.3	1.5	2.4	32	15
Белые сушеные		23.8	6.8	30.2	277	15
Вешенки свежие		2.5	0.5	6.2	34	15
Лисички свежие		1.5	1	2.4	22	15
Лисички сушеные		22	7.2	25.4	268	15
Маслята свежие		2.5	0.7	1.5	12	15
Опята свежие		2.4	1	2.5	25	15
Подберезовики свежие	2.1	1.2	3.4	30	15
Подберезовики сушеные	23.3	9.5	14.4	231	15
Подосиновики свежие	3.3	0.4	3.5	31	15
Подосиновики сушеные	35.2	5.4	33	325	15
Рыжики свежие		1.9	0.7	2.3	16	15
Сыроежки свежие		1.6	0.8	1.7	15	15
Шампиньоны свежие	4.3	0.9	1.4	29	15

// Икра
// ПРОДУКТ		БЕЛ	ЖИР	УГЛ	ККАЛ	ГИ
Икра кеты		31.6	13.7	0	250	-
